MatchNumber,RoundNumber,Date,Location,HomeTeam,AwayTeam,Result
124,13,25/11/2019 15:00,Stadio Via del Mare,Lecce,Cagliari,2 - 2
128,13,25/11/2019 20:45,Stadio Paolo Mazza,Spal,Genoa,1 - 1
131,14,30/11/2019 15:00,Stadio Mario Rigamonti,Brescia,Atalanta,0 - 3
134,14,30/11/2019 18:00,Stadio Luigi Ferraris,Genoa,Torino,0 - 1
133,14,30/11/2019 20:45,Stadio Artemio Franchi,Fiorentina,Lecce,0 - 1
137,14,01/12/2019 12:30,Allianz Stadium,Juventus,Sassuolo,2 - 2
136,14,01/12/2019 15:00,San Siro,Inter,Spal,2 - 1
138,14,01/12/2019 15:00,Stadio Olimpico,Lazio,Udinese,3 - 0
140,14,01/12/2019 15:00,Stadio Ennio Tardini,Parma,Milan,0 - 1
139,14,01/12/2019 18:00,Stadio San Paolo,Napoli,Bologna,1 - 2
135,14,01/12/2019 20:45,Stadio Marc'Antonio Bentegodi,Hellas Verona,Roma,1 - 3
132,14,02/12/2019 20:45,Sardegna Arena,Cagliari,Sampdoria,4 - 3
150,15,06/12/2019 20:45,San Siro,Inter,Roma,0 - 0
142,15,07/12/2019 15:00,Gewiss Stadium,Atalanta,Hellas Verona,3 - 2
149,15,07/12/2019 18:00,Stadio Friuli,Udinese,Napoli,1 - 1
141,15,07/12/2019 20:45,Stadio Olimpico,Lazio,Juventus,3 - 1
144,15,08/12/2019 12:30,Stadio Via del Mare,Lecce,Genoa,2 - 2
146,15,08/12/2019 15:00,Mapei Stadium,Sassuolo,Cagliari,2 - 2
147,15,08/12/2019 15:00,Stadio Paolo Mazza,Spal,Brescia,0 - 1
148,15,08/12/2019 15:00,Stadio Olimpico Grande Torino,Torino,Fiorentina,2 - 1
145,15,08/12/2019 18:00,Stadio Luigi Ferraris,Sampdoria,Parma,0 - 1
143,15,08/12/2019 20:45,Stadio Renato Dall'Ara,Bologna,Milan,2 - 3
152,16,14/12/2019 15:00,Stadio Mario Rigamonti,Brescia,Lecce,3 - 0
159,16,14/12/2019 18:30,Stadio San Paolo,Napoli,Parma,1 - 2
155,16,14/12/2019 20:45,Stadio Luigi Ferraris,Genoa,Sampdoria,0 - 1
156,16,15/12/2019 12:30,Stadio Marc'Antonio Bentegodi,Hellas Verona,Torino,3 - 3
151,16,15/12/2019 15:00,Stadio Renato Dall'Ara,Bologna,Atalanta,2 - 1
157,16,15/12/2019 15:00,Allianz Stadium,Juventus,Udinese,3 - 1
158,16,15/12/2019 15:00,San Siro,Milan,Sassuolo,0 - 0
160,16,15/12/2019 18:00,Stadio Olimpico,Roma,Spal,3 - 1
154,16,15/12/2019 20:45,Stadio Artemio Franchi,Fiorentina,Inter,1 - 1
153,16,16/12/2019 20:45,Sardegna Arena,Cagliari,Lazio,1 - 2
63,16,18/12/2019 20:45,Stadio Mario Rigamonti,Brescia,Sassuolo,0 - 2
167,17,18/12/2019 18:55,Stadio Luigi Ferraris,Sampdoria,Juventus,1 - 2
162,17,20/12/2019 20:45,Stadio Artemio Franchi,Fiorentina,Roma,1 - 4
170,17,21/12/2019 15:00,Stadio Friuli,Udinese,Cagliari,2 - 1
163,17,21/12/2019 18:00,San Siro,Inter,Genoa,4 - 0
169,17,21/12/2019 20:45,Stadio Olimpico Grande Torino,Torino,Spal,1 - 2
161,17,22/12/2019 12:30,Gewiss Stadium,Atalanta,Milan,5 - 0
165,17,22/12/2019 15:00,Stadio Via del Mare,Lecce,Bologna,2 - 3
166,17,22/12/2019 15:00,Stadio Ennio Tardini,Parma,Brescia,1 - 1
168,17,22/12/2019 20:45,Mapei Stadium,Sassuolo,Napoli,1 - 2
173,18,05/01/2020 12:30,Stadio Mario Rigamonti,Brescia,Lazio,1 - 2
179,18,05/01/2020 15:00,Stadio Paolo Mazza,Spal,Hellas Verona,0 - 2
174,18,05/01/2020 18:00,Stadio Luigi Ferraris,Genoa,Sassuolo,2 - 1
178,18,05/01/2020 20:45,Stadio Olimpico,Roma,Torino,0 - 2
172,18,06/01/2020 12:30,Stadio Renato Dall'Ara,Bologna,Fiorentina,1 - 1
171,18,06/01/2020 15:00,Gewiss Stadium,Atalanta,Parma,5 - 0
175,18,06/01/2020 15:00,Allianz Stadium,Juventus,Cagliari,4 - 0
177,18,06/01/2020 15:00,San Siro,Milan,Sampdoria,0 - 0
176,18,06/01/2020 18:00,Stadio Via del Mare,Lecce,Udinese,0 - 1
180,18,06/01/2020 20:45,Stadio San Paolo,Napoli,Inter,1 - 3
181,19,11/01/2020 15:00,Sardegna Arena,Cagliari,Milan,0 - 2
185,19,11/01/2020 18:00,Stadio Olimpico,Lazio,Napoli,1 - 0
184,19,11/01/2020 20:45,San Siro,Inter,Atalanta,1 - 1
189,19,12/01/2020 12:30,Stadio Friuli,Udinese,Sassuolo,3 - 0
182,19,12/01/2020 15:00,Stadio Artemio Franchi,Fiorentina,Spal,1 - 0
187,19,12/01/2020 15:00,Stadio Luigi Ferraris,Sampdoria,Brescia,5 - 1
188,19,12/01/2020 15:00,Stadio Olimpico Grande Torino,Torino,Bologna,1 - 0
183,19,12/01/2020 18:15,Stadio Marc'Antonio Bentegodi,Hellas Verona,Genoa,2 - 1
190,19,12/01/2020 20:45,Stadio Olimpico,Roma,Juventus,1 - 2
186,19,13/01/2020 20:45,Stadio Ennio Tardini,Parma,Lecce,2 - 0
196,20,18/01/2020 15:00,Stadio Olimpico,Lazio,Sampdoria,5 - 1
200,20,18/01/2020 18:00,Mapei Stadium,Sassuolo,Torino,2 - 1
199,20,18/01/2020 20:45,Stadio San Paolo,Napoli,Fiorentina,0 - 2
198,20,19/01/2020 12:30,San Siro,Milan,Udinese,3 - 2
192,20,19/01/2020 15:00,Stadio Renato Dall'Ara,Bologna,Hellas Verona,1 - 1
193,20,19/01/2020 15:00,Stadio Mario Rigamonti,Brescia,Cagliari,2 - 2
197,20,19/01/2020 15:00,Stadio Via del Mare,Lecce,Inter,1 - 1
194,20,19/01/2020 18:00,Stadio Luigi Ferraris,Genoa,Roma,1 - 3
195,20,19/01/2020 20:45,Allianz Stadium,Juventus,Parma,2 - 1
191,20,20/01/2020 20:45,Gewiss Stadium,Atalanta,Spal,1 - 2
201,21,24/01/2020 20:45,Stadio Mario Rigamonti,Brescia,Milan,0 - 1
208,21,25/01/2020 15:00,Stadio Paolo Mazza,Spal,Bologna,1 - 3
202,21,25/01/2020 18:00,Stadio Artemio Franchi,Fiorentina,Genoa,0 - 0
209,21,25/01/2020 20:45,Stadio Olimpico Grande Torino,Torino,Atalanta,0 - 7
204,21,26/01/2020 12:30,San Siro,Inter,Cagliari,1 - 1
203,21,26/01/2020 15:00,Stadio Marc'Antonio Bentegodi,Hellas Verona,Lecce,3 - 0
205,21,26/01/2020 15:00,Stadio Ennio Tardini,Parma,Udinese,2 - 0
207,21,26/01/2020 15:00,Stadio Luigi Ferraris,Sampdoria,Sassuolo,0 - 0
206,21,26/01/2020 18:00,Stadio Olimpico,Roma,Lazio,1 - 1
210,21,26/01/2020 20:45,Stadio San Paolo,Napoli,Juventus,2 - 1
212,22,01/02/2020 15:00,Stadio Renato Dall'Ara,Bologna,Brescia,2 - 1
213,22,01/02/2020 18:00,Sardegna Arena,Cagliari,Parma,2 - 2
219,22,01/02/2020 20:45,Mapei Stadium,Sassuolo,Roma,4 - 2
214,22,02/02/2020 12:30,Allianz Stadium,Juventus,Fiorentina,3 - 0
211,22,02/02/2020 15:00,Gewiss Stadium,Atalanta,Genoa,2 - 2
215,22,02/02/2020 15:00,Stadio Olimpico,Lazio,Spal,5 - 1
217,22,02/02/2020 15:00,San Siro,Milan,Hellas Verona,1 - 1
216,22,02/02/2020 18:00,Stadio Via del Mare,Lecce,Torino,4 - 0
220,22,02/02/2020 20:45,Stadio Friuli,Udinese,Inter,0 - 2
